,TYPE,L1,LOCATION,SEAT,IS_HARBOR,Q_AUTO,Q_NON_AUTO,STOP_LOCATION,IS_BUS,distance,weights
1,广州路平峰,location1,DJI0019,1,0,128,148,-1,0,0.221459075,1
3,广州路高峰,location3,DJI006,1,0,140,265,-1,0,0.212800657,1
7,西安门平峰,location7,DJI012,3,0,225,228,-1,0,0.16900118,1
16,广州路平峰,location16,DJI018,1,0,104,172,-1,1,0.212760105,1
17,西安门平峰,location17,DJI011,3,0,233,206,-1,1,0.172593737,1
18,内桥平峰,location18,DJI21,1,0,168,205,-1,1,0.226281934,1
