"","TYPE","L1","LOCATION","SERVICE_TIME","SEAT","IS_HARBOR","Q_AUTO","Q_NON_AUTO","STOP_LOCATION","IS_BUS","distance","weights"
"5","广州路平峰","location5","DJI020",32.25,1,0,140,190,-1,0,0.192173971994902,1
"9","西安门高峰","location9","DJI007",13.864,3,0,295,215,-1,0,0.172438788628098,1
"14","内桥平峰","location14","DJI22",11.89,1,0,185,133,-1,0,0.253942710749228,1
"16","广州路平峰","location16","DJI018",31.922,1,0,104,172,-1,1,0.190293598224123,1
"17","西安门平峰","location17","DJI011",12.975,3,0,233,206,-1,1,0.170975862493135,1
"18","内桥平峰","location18","DJI21",11.613,1,0,168,205,-1,1,0.256744932616865,1
