"","TYPE","L1","LOCATION","SEAT","IS_HARBOR","Q_AUTO","Q_NON_AUTO","STOP_LOCATION","IS_BUS","distance","weights"
"1","广州路平峰","location1","DJI0019",1,0,768,888,-1,0,0.221459074644532,1
"3","广州路高峰","location3","DJI006",1,0,840,1590,-1,0,0.212800656510092,1
"7","西安门平峰","location7","DJI012",3,0,1350,1368,-1,0,0.169001180373098,1
"16","广州路平峰","location16","DJI018",1,0,624,1032,-1,1,0.212760105407041,1
"17","西安门平峰","location17","DJI011",3,0,1398,1236,-1,1,0.172593736876078,1
"18","内桥平峰","location18","DJI21",1,0,1008,1230,-1,1,0.226281933654997,1
