"","TYPE","LOCATION","SERVICE_TIME","SEAT","IS_HARBOR","Q_AUTO","Q_NON_AUTO","STOP_LOCATION","IS_BUS","distance","weights"
"1","广州路平峰","DJI0019",23.94,1,0,128,148,-1,0,4.42178411013884e-11,1
"5","广州路平峰","DJI020",32.25,1,0,140,190,-1,0,1.77276556493667e-10,1
"11","西安门高峰","DJI008",12.556,3,0,103,103,-1,0,5.30675266058133e-11,1
"18","广州路平峰","DJI018",31.922,1,0,104,172,-1,1,0.999999999818504,1
