"","TYPE","L1","LOCATION","SEAT","IS_HARBOR","Q_AUTO","Q_NON_AUTO","STOP_LOCATION","IS_BUS","distance","weights"
"1","广州路平峰","location1","DJI0019",1,0,768,888,-1,0,0.305004051480644,1
"2","广州路高峰","location2","DJI005",1,0,780,1668,-1,0,0.220369034154083,1
"3","广州路高峰","location3","DJI006",1,0,840,1590,-1,0,0.217698514013962,1
"16","广州路平峰","location16","DJI018",1,0,624,1032,-1,1,0.318126748179432,1
"17","西安门平峰","location17","DJI011",3,0,1398,1236,-1,1,0.231322649997051,1
"18","内桥平峰","location18","DJI21",1,0,1008,1230,-1,1,0.223549703643529,1
